date,year,month,day,day_of_week,solar_mwh
2025-04-15,2025,4,15,Tuesday,184050.0
2025-04-16,2025,4,16,Wednesday,177660.0
2025-04-17,2025,4,17,Thursday,180430.0
2025-04-18,2025,4,18,Friday,174080.0
2025-04-19,2025,4,19,Saturday,184780.0
2025-04-20,2025,4,20,Sunday,191470.0
2025-04-21,2025,4,21,Monday,199040.0
2025-04-22,2025,4,22,Tuesday,202940.0
2025-04-23,2025,4,23,Wednesday,200830.0
2025-04-24,2025,4,24,Thursday,197740.0
2025-04-25,2025,4,25,Friday,191990.0
2025-04-26,2025,4,26,Saturday,185500.0
2025-04-27,2025,4,27,Sunday,192640.0
2025-04-28,2025,4,28,Monday,189200.0
2025-04-29,2025,4,29,Tuesday,184240.0
2025-04-30,2025,4,30,Wednesday,185500.0
2025-05-01,2025,5,1,Thursday,170350.0
2025-05-02,2025,5,2,Friday,161800.0
2025-05-03,2025,5,3,Saturday,171220.0
2025-05-04,2025,5,4,Sunday,165010.0
2025-05-05,2025,5,5,Monday,146420.0
2025-05-06,2025,5,6,Tuesday,167610.0
2025-05-07,2025,5,7,Wednesday,173580.0
2025-05-08,2025,5,8,Thursday,177690.0
2025-05-09,2025,5,9,Friday,172910.0
2025-05-10,2025,5,10,Saturday,185450.0
2025-05-11,2025,5,11,Sunday,183100.0
2025-05-12,2025,5,12,Monday,187310.0
2025-05-13,2025,5,13,Tuesday,191750.0
2025-05-14,2025,5,14,Wednesday,196660.0
2025-05-15,2025,5,15,Thursday,198300.0
2025-05-16,2025,5,16,Friday,195870.0
2025-05-17,2025,5,17,Saturday,196430.0
2025-05-18,2025,5,18,Sunday,194850.0
2025-05-19,2025,5,19,Monday,193550.0
2025-05-20,2025,5,20,Tuesday,191900.0
2025-05-21,2025,5,21,Wednesday,197440.0
2025-05-22,2025,5,22,Thursday,191540.0
2025-05-23,2025,5,23,Friday,197660.0
2025-05-24,2025,5,24,Saturday,190950.0
2025-05-25,2025,5,25,Sunday,119480.0
2025-05-26,2025,5,26,Monday,165830.0
2025-05-27,2025,5,27,Tuesday,167030.0
2025-05-28,2025,5,28,Wednesday,147290.0
2025-05-29,2025,5,29,Thursday,163840.0
2025-05-30,2025,5,30,Friday,153950.0
2025-05-31,2025,5,31,Saturday,150670.0
